id,title,handle,url,category,family,product_type,price_min,price_max,in_stock,n_variants,connectivity,layout,hotswap,qmk_via,magnetic_HE,low_profile,keycap_material,keycap_profile,case_material,knob,published
8199647920217,Keychron K2 Ultra 8K Wireless Custom Mechanical Keyboard,keychron-k2-ultra-8k-wireless-custom-mechanical-keyboard,https://www.keychron.com/products/keychron-k2-ultra-8k-wireless-custom-mechanical-keyboard,键盘 Keyboards,K 系列(主力无线),Custom Keyboards,119.99,119.99,在售,3,wireless,75%,Yes,,,,Double-shot PBT,OSA Profile,,,2026-06-11
8205260095577,Keychron K8 Ultra 8K Wireless Custom Mechanical Keyboard,keychron-k8-ultra-8k-wireless-custom-mechanical-keyboard,https://www.keychron.com/products/keychron-k8-ultra-8k-wireless-custom-mechanical-keyboard,键盘 Keyboards,K 系列(主力无线),Custom Keyboards,119.99,119.99,在售,3,wireless,80%,Yes,,,,,Normal Profile,,,2026-06-11
8120953372761,Unknown Number Mint -  Cherry Profile Dye-Sub PBT Full Keycap Set,unknown-number-mint-cherry-profile-dye-sub-pbt-full-keycap-set,https://www.keychron.com/products/unknown-number-mint-cherry-profile-dye-sub-pbt-full-keycap-set,键帽 Keycaps,—,Keycaps,39.99,39.99,在售,1,,96%,,,,,Dye-Sub PBT,Cherry Profile,,,2026-06-02
8118814441561,Unknown Number Navy - Cherry Profile Dye-Sub PBT Full Keycap Set,cherry-profile-dye-sub-pbt-full-keycap-set-unknown-number-navy,https://www.keychron.com/products/cherry-profile-dye-sub-pbt-full-keycap-set-unknown-number-navy,键帽 Keycaps,—,Keycaps,39.99,39.99,在售,1,,96%,,,,,Dye-Sub PBT,Cherry Profile,,,2026-06-02
7471823487065,Keychron Switch Tester 100 Max Edition,keychron-switch-tester-100-max-edition,https://www.keychron.com/products/keychron-switch-tester-100-max-edition,轴体 Switches,—,Switches,59.99,59.99,在售,1,,,,,,,,,,,2026-05-19
8078508621913,Keychron Silk POM Mechanical Switch,keychron-silk-pom-switch,https://www.keychron.com/products/keychron-silk-pom-switch,轴体 Switches,—,Switches,14.99,29.99,在售,6,,,,,,,,Normal Profile,,,2026-05-18
8136559034457,Keychron J3 SE QMK Wireless Mechanical Keyboard,keychron-j3-se-qmk-wireless-mechanical-keyboard,https://www.keychron.com/products/keychron-j3-se-qmk-wireless-mechanical-keyboard,键盘 Keyboards,其它/未识别,Custom Keyboards,99.99,99.99,售罄,2,wireless,96%,Yes,Yes,,,,Normal Profile,,,2026-05-14
8176303079513,Keychron Q11 Ultra 8K Wireless Custom Mechanical Keyboard,keychron-q11-ultra-8k-wireless-custom-mechanical-keyboard,https://www.keychron.com/products/keychron-q11-ultra-8k-wireless-custom-mechanical-keyboard,键盘 Keyboards,Q 系列(旗舰客制),Custom Keyboards,239.99,239.99,在售,3,wireless,100%,Yes,,,,,Normal Profile,All-metal,Yes,2026-05-07
8136555102297,Keychron Q0 Mini 8K Action Key,keychron-q0-mini-8k-action-key,https://www.keychron.com/products/keychron-q0-mini-8k-action-key,配件 Accessories,—,Z-Others,64.99,64.99,在售,1,wired,,,Yes,,,Double-shot PBT,,,,2026-04-21
8135806877785,Keychron G5 Ultra Light Wireless Mouse,keychron-g5-ultra-light-wireless-mouse,https://www.keychron.com/products/keychron-g5-ultra-light-wireless-mouse,鼠标 Mice,M 系列(鼠标),Mice,109.99,109.99,售罄,1,,,,,,,,,,,2026-04-16
8135892992089,Keychron G4 Wireless Mouse,keychron-g4-wireless-mouse,https://www.keychron.com/products/keychron-g4-wireless-mouse,鼠标 Mice,M 系列(鼠标),Mice,79.99,79.99,在售,1,,,,,,,,,,,2026-04-16
8168202010713,Keychron V6 HE Magnetic Switch Keyboard (Limited Edition to Specific Region),keychron-v6-he-magnetic-switch-keyboard,https://www.keychron.com/products/keychron-v6-he-magnetic-switch-keyboard,键盘 Keyboards,V 系列(平价客制),Custom Keyboards,169.99,169.99,售罄,1,wired,100%,Yes,Yes,Yes,,,Normal Profile,,,2026-04-15
8168226652249,Keychron V1 HE Magnetic Switch Keyboard (Limited Edition to Specific Region),keychron-v1-he-magnetic-switch-keyboard,https://www.keychron.com/products/keychron-v1-he-magnetic-switch-keyboard,键盘 Keyboards,V 系列(平价客制),Custom Keyboards,159.99,159.99,售罄,1,wired,75%,Yes,Yes,Yes,,,Normal Profile,,,2026-04-15
8135806255193,Keychron G3 Ultra Light Wireless Mouse,keychron-g3-ultra-light-wireless-mouse,https://www.keychron.com/products/keychron-g3-ultra-light-wireless-mouse,鼠标 Mice,M 系列(鼠标),Mice,84.99,109.99,在售,2,,,,,,,,,,,2026-04-14
8100815863897,Keychron R3 QMK Wireless Mechanical Keyboard,keychron-r3-qmk-wireless-mechanical-keyboard,https://www.keychron.com/products/keychron-r3-qmk-wireless-mechanical-keyboard,键盘 Keyboards,其它/未识别,Custom Keyboards,79.99,79.99,售罄,3,wireless,80%,Yes,Yes,,,,Normal Profile,,,2026-04-11
8114290753625,Keychron C3 HE Wired Magnetic Switch Keyboard,keychron-c3-he-magnetic-switch-keyboard,https://www.keychron.com/products/keychron-c3-he-magnetic-switch-keyboard,键盘 Keyboards,C 系列(有线入门),Custom Keyboards,89.99,89.99,售罄,1,wired,100%,Yes,Yes,Yes,,,Cherry Profile,,,2026-04-10
8135894564953,Keychron K3 Max SE QMK Wireless Custom Mechanical Keyboard,keychron-k3-max-se-qmk-wireless-custom-mechanical-keyboard,https://www.keychron.com/products/keychron-k3-max-se-qmk-wireless-custom-mechanical-keyboard,键盘 Keyboards,K 系列(主力无线),Slim Keyboards,104.99,104.99,在售,3,wireless,75%,Yes,Yes,,Yes,,Low Profile,,,2026-04-09
